symbol,trades,win_rate,avg_return,total_pnl_usd,avg_bars_held
DOV,53,50.9,0.92,4863.0,27.0
CINF,50,48.0,0.97,4852.0,29.0
NWS,53,39.6,0.91,4828.0,25.0
TMO,51,43.1,0.94,4787.0,27.0
WBD,49,26.5,0.96,4690.0,22.0
TXT,45,37.8,1.04,4671.0,31.0
FOXA,34,50.0,1.36,4613.0,32.0
MSCI,40,47.5,1.15,4591.0,34.0
CME,43,46.5,1.06,4547.0,33.0
KDP,61,42.6,0.74,4530.0,23.0
MDLZ,45,46.7,0.99,4477.0,27.0
DHR,53,50.9,0.84,4476.0,28.0
AEE,53,52.8,0.82,4348.0,30.0
TMUS,53,39.6,0.81,4266.0,26.0
MLM,47,36.2,0.9,4253.0,29.0
BAX,41,53.7,1.04,4249.0,31.0
VICI,45,40.0,0.94,4247.0,27.0
DUK,51,49.0,0.82,4166.0,30.0
LEN,43,44.2,0.96,4143.0,28.0
FTV,45,53.3,0.92,4138.0,34.0
CSCO,51,31.4,0.81,4124.0,26.0
CNP,49,44.9,0.83,4077.0,29.0
MCD,49,40.8,0.83,4049.0,26.0
ADBE,45,42.2,0.9,4042.0,26.0
TRMB,41,48.8,0.98,4030.0,33.0
CHD,45,44.4,0.89,3985.0,27.0
ED,54,44.4,0.73,3953.0,27.0
CB,56,41.1,0.7,3923.0,27.0
CVS,46,43.5,0.85,3888.0,30.0
ABT,49,44.9,0.79,3866.0,30.0
AON,50,44.0,0.75,3753.0,28.0
MET,54,40.7,0.69,3734.0,24.0
MCHP,47,44.7,0.79,3720.0,27.0
NDSN,49,46.9,0.75,3690.0,30.0
KEY,39,43.6,0.95,3689.0,33.0
NOC,60,28.3,0.61,3687.0,23.0
MMM,50,38.0,0.73,3657.0,29.0
NUE,44,38.6,0.83,3655.0,26.0
GL,54,37.0,0.67,3593.0,26.0
SO,53,45.3,0.66,3518.0,29.0
CPRT,44,45.5,0.79,3493.0,31.0
MA,47,46.8,0.74,3488.0,30.0
ES,51,49.0,0.68,3467.0,28.0
AES,50,34.0,0.68,3403.0,26.0
ACN,38,44.7,0.87,3307.0,34.0
EFX,40,40.0,0.81,3252.0,29.0
EQR,50,44.0,0.65,3237.0,30.0
AVB,50,46.0,0.65,3227.0,27.0
KIM,48,41.7,0.66,3189.0,26.0
WAT,43,37.2,0.73,3142.0,29.0
PNR,45,40.0,0.7,3128.0,29.0
EXPD,61,37.7,0.48,2933.0,23.0
NVR,45,40.0,0.65,2930.0,31.0
GEHC,19,52.6,1.54,2926.0,25.0
AFL,56,33.9,0.51,2871.0,28.0
PSA,60,38.3,0.48,2857.0,23.0
NWSA,57,35.1,0.49,2777.0,22.0
KMI,46,45.7,0.6,2742.0,32.0
AKAM,44,36.4,0.62,2734.0,31.0
UPS,47,34.0,0.58,2731.0,27.0
SWKS,49,28.6,0.55,2704.0,24.0
STE,42,42.9,0.63,2646.0,32.0
NTRS,48,33.3,0.55,2627.0,27.0
EMR,51,45.1,0.51,2622.0,27.0
VMC,54,44.4,0.48,2578.0,25.0
BG,49,30.6,0.52,2531.0,26.0
HII,40,47.5,0.62,2464.0,31.0
CPT,50,40.0,0.48,2424.0,29.0
SLB,49,30.6,0.49,2415.0,25.0
Q,2,50.0,12.06,2411.0,39.0
EW,44,43.2,0.55,2401.0,29.0
AOS,47,38.3,0.51,2397.0,29.0
NXPI,45,37.8,0.52,2360.0,30.0
VRTX,46,37.0,0.51,2331.0,31.0
DVA,38,31.6,0.61,2330.0,29.0
RTX,49,36.7,0.47,2325.0,25.0
UBER,32,37.5,0.71,2268.0,24.0
LVS,43,41.9,0.53,2263.0,29.0
ELV,48,35.4,0.47,2243.0,30.0
LH,44,47.7,0.51,2230.0,33.0
NEM,41,36.6,0.54,2217.0,30.0
FDS,52,36.5,0.42,2170.0,27.0
STT,43,41.9,0.5,2148.0,31.0
ATO,47,44.7,0.45,2118.0,32.0
EQT,40,37.5,0.52,2091.0,23.0
CMCSA,49,40.8,0.41,2002.0,28.0
DLR,47,44.7,0.43,1999.0,33.0
